date,ticker,year_high,year_low,prev_close,open,last_price,vwap,change,bid,offer,volume,value,percent_change,symbol,name,price,timestamp
27/03/2026,ACCESS,46.64,16.2,46.62,46.62,41.95,46.62,0.0,,46.6,11.0,461.45,0.0,,,,
27/03/2026,ADB,5.06,5.06,5.06,5.06,5.06,5.06,0.0,5.06,,0.0,0.0,0.0,,,,
27/03/2026,AGA,37.0,37.0,37.0,37.0,37.0,37.0,0.0,40.7,,0.0,0.0,0.0,,,,
27/03/2026,**ALW**,0.1,0.1,0.1,0.1,0.1,0.1,0.0,,,0.0,0.0,0.0,,,,
27/03/2026,ASG,8.89,8.89,8.89,8.89,8.89,8.89,0.0,8.89,,0.0,0.0,0.0,,,,
27/03/2026,ALLGH,6.55,6.12,6.52,6.52,6.57,6.55,0.03,,6.52,8438.0,55163.96,0.4601226993865031,,,,
27/03/2026,BOPP,100.0,55.82,100.0,100.0,100.0,100.0,0.0,100.0,109.99,1000.0,100000.0,0.0,,,,
27/03/2026,CAL,0.94,0.61,0.71,0.71,0.71,0.71,0.0,,0.71,191162.0,135125.02,0.0,,,,
27/03/2026,CLYD,0.9,0.46,0.99,0.99,0.99,0.99,0.0,0.99,,0.0,0.0,0.0,,,,
27/03/2026,CMLT,0.14,0.14,0.14,0.14,0.14,0.14,0.0,0.15,,0.0,0.0,0.0,,,,
27/03/2026,CPC,0.1,0.05,0.1,0.1,0.1,0.1,0.0,0.1,,1000.0,100.0,0.0,,,,
27/03/2026,DASPHARMA,0.41,0.38,0.41,0.41,0.41,0.41,0.0,0.41,,1.0,0.41,0.0,,,,
27/03/2026,EGH,57.0,25.0,50.0,50.0,49.5,50.0,0.0,,49.5,49.0,2425.5,0.0,,,,
27/03/2026,EGL,12.16,3.48,12.0,12.0,11.8,12.0,0.0,,11.9,378.0,4460.4,0.0,,,,
27/03/2026,ETI,2.82,0.76,1.8,1.8,1.62,1.66,-0.14,,1.79,39537.0,65787.76,-7.777777777777778,,,,
27/03/2026,FML,16.35,8.0,13.35,13.35,13.35,13.35,0.0,,12.98,0.0,0.0,0.0,,,,
27/03/2026,FAB,7.84,7.71,7.84,7.84,7.84,7.84,0.0,7.84,,0.0,0.0,0.0,,,,
27/03/2026,GCB,52.0,20.11,37.08,37.08,33.38,33.38,-3.7,,33.38,5477.0,182822.26,-9.978425026968717,,,,
27/03/2026,GGBL,16.5,6.6,15.94,15.94,15.94,15.94,0.0,,15.94,2269.0,36167.86,0.0,,,,
27/03/2026,GOIL,7.86,2.96,7.67,7.67,7.88,7.86,0.19,7.86,,11361.0,89312.28,2.4771838331160363,,,,
27/03/2026,MAC,5.2,5.2,5.2,5.2,5.2,5.2,0.0,5.2,,0.0,0.0,0.0,,,,
27/03/2026,MTNGH,6.53,4.2,5.39,5.39,5.3,5.03,-0.36,,5.33,13816222.0,69501204.36,-6.679035250463822,,,,
27/03/2026,PBC**,0.02,0.02,0.02,0.02,0.02,0.02,0.0,,,0.0,0.0,0.0,,,,
27/03/2026,RBGH,5.38,1.3,4.82,4.82,4.82,4.82,0.0,,5.0,0.0,0.0,0.0,,,,
27/03/2026,SCB,79.41,29.22,71.47,71.47,71.47,71.47,0.0,,71.47,669.0,47813.43,0.0,,,,
2026-03-31,,,,,,,,0.0,,,0.0,,,AADS,AADS,0.42,2026-03-31 21:47:12
2026-03-31,,,,,,,,0.0,,,34.0,,,ACCESS,Access Bank Ghana Plc,46.62,2026-03-31 21:47:12
2026-03-31,,,,,,,,0.0,,,0.0,,,ADB,Agricultural Development Bank,5.06,2026-03-31 21:47:12
2026-03-31,,,,,,,,0.0,,,0.0,,,AGA,AngloGold Ashanti Plc,37.0,2026-03-31 21:47:12
2026-03-31,,,,,,,,0.0,,,0.0,,,ALLGH,Atlantic Lithium Limited,6.55,2026-03-31 21:47:12
2026-03-31,,,,,,,,0.0,,,0.0,,,ASG,Asante Gold Corporation,8.89,2026-03-31 21:47:12
2026-03-31,,,,,,,,0.0,,,2849.0,,,BOPP,Benso Oil Palm Plantation Ltd,100.0,2026-03-31 21:47:12
2026-03-31,,,,,,,,0.0,,,167811.0,,,CAL,CalBank PLC,0.69,2026-03-31 21:47:12
2026-03-31,,,,,,,,0.0,,,200.0,,,CLYD,Clydestone (Ghana) Limited,0.99,2026-03-31 21:47:12
2026-03-31,,,,,,,,0.0,,,0.0,,,CMLT,Camelot Ghana Ltd,0.14,2026-03-31 21:47:12
2026-03-31,,,,,,,,0.01,,,13785.0,,,CPC,Cocoa Processing Company,0.11,2026-03-31 21:47:12
2026-03-31,,,,,,,,0.0,,,120.0,,,DASPHARMA,Dannex Ayrton Starwin Plc,0.41,2026-03-31 21:47:12
2026-03-31,,,,,,,,0.0,,,0.0,,,DIGICUT,DIGICUT,0.09,2026-03-31 21:47:12
2026-03-31,,,,,,,,0.0,,,645.0,,,EGH,Ecobank Ghana PLC,49.5,2026-03-31 21:47:12
2026-03-31,,,,,,,,-0.23,,,34345.0,,,EGL,Enterprise Group PLC,11.77,2026-03-31 21:47:12
2026-03-31,,,,,,,,-0.14,,,179058.0,,,ETI,Ecobank Transnational Inc,1.49,2026-03-31 21:47:12
2026-03-31,,,,,,,,0.0,,,0.0,,,FAB,FAB,7.84,2026-03-31 21:47:12
2026-03-31,,,,,,,,0.0,,,314.0,,,FML,Fan Milk Limited,12.98,2026-03-31 21:47:12
2026-03-31,,,,,,,,-2.99,,,233976.0,,,GCB,Ghana Commercial Bank Limited,27.06,2026-03-31 21:47:12
